node_id,name,verdict,category,reason,status
C00600,The Shorin,non_person,other,Prose fragment ('the Shorin [ryu]'); artefact,proposed
C00602,Tode Research,non_person,organisation,"Fragment of 'Tode Kenkyukai' (Tode Research Club), not a person",proposed
C00621,Totori Budokan,non_person,place,"Tottori Budokan, a martial arts hall, not a person",proposed
C00622,Totori City,non_person,place,"Tottori City, Japan; a place, not a person",proposed
C00642,Whereas Chokki,non_person,other,"Prose fragment ('Whereas Chokki [Motobu]...'); artefact, referent is Motobu Choki",proposed
C00643,Whilst Asato,non_person,other,"Prose fragment ('Whilst Asato [Anko]...'); artefact, referent is Asato Anko",proposed
C00673,Zenyei OshiroAkio Kinjo,non_person,artefact,Two names concatenated (Zenyei Oshiro + Akio Kinjo). Dropped; re-add as two separate rows in nodes.csv if wanted.,confirmed
Q11064618,bo,non_person,weapon,"Okinawan staff weapon (bo), Wikidata P31 confirms staff weapon; birth 2015 is nonsense",proposed
Q117604,Nago,non_person,place,"City in northern Okinawa; the 'Aji Ryukyu' tag reflects Ryukyuan history context, not a person.",proposed
Q1206086,Kumejima,non_person,place,"Island/town in Okinawa Prefecture, not a person.",proposed
Q1206796,Nishihara,non_person,place,"Town in Okinawa Prefecture, not a person",proposed
Q1207591,dharma transmission,non_person,concept,"Zen Buddhist concept of lineage transmission, not a person; birth 2012 is nonsense",proposed
Q124378342,The Three,non_person,other,Wikimedia disambiguation page; not a person.,proposed
Q127513,Kanagawa Prefecture,non_person,place,Japanese prefecture; the 2024 'birth' year is spurious.,proposed
Q128059,Kata guruma,non_person,technique,Judo shoulder-wheel throw; the 2022 'birth' year is spurious.,proposed
Q128133,Niagara Falls,non_person,place,Waterfall on the US-Canada border; birth year 4384 is nonsense,proposed
Q131295,brothel,non_person,concept,"Type of establishment, not a person; birth 2020 is nonsense",proposed
Q131359,professional wrestling,non_person,concept,"Performance combat-sport genre, not a person.",proposed
Q1317686,Pechin,non_person,concept,"Social rank/class in the Ryukyu Kingdom, not an individual",proposed
Q132720,Yamanashi Prefecture,non_person,place,Japanese prefecture; birth 2023 is nonsense,proposed
Q1344988,Expo 67,non_person,event,"1967 Montreal world's fair, not a person",proposed
Q1351759,Chatan,non_person,place,"Town in Okinawa (home of Chatan Yara, but this entity is the place)",proposed
Q1465287,Pinan,non_person,kata,"Pinan is the series of five kata developed by Anko Itosu, taught across Shorin-ryu, Shito-ryu, Shotokan (as Heian) and Wado-ryu; 'birth' 1870 is not a human date.",proposed
Q148,Peoples Republic of China,non_person,place,"Country; low QID Q148 is China, years 2016/5886 are nonsense",proposed
Q1490,Tokyo,non_person,place,"Q1490 is the city of Tokyo; 1868/1943 are the renaming and Tokyo City abolition dates, not lifespan. Low-QID major entity.",proposed
Q1493305,firefighters carry,non_person,technique,Fireman's carry lifting/throwing technique; birth year 0112 is spurious.,proposed
Q1493578,Chinto,non_person,kata,"Chinto is a Shuri-te/Tomari-te lineage kata (named after the shipwrecked Chinese sailor); this QID is the kata article, not the semi-legendary man.",proposed
Q157763,Prunus mume,non_person,other,"Prunus mume is the Japanese apricot/plum tree, a plant species; likely leaked via a kung fu 'plum blossom' reference.",proposed
Q16552,San Diego,non_person,place,San Diego is a US city; 1985-2007 are not human dates for any lineage figure.,proposed
Q17,Japan,non_person,place,Country; Q17 is the Wikidata item for Japan,proposed
Q174,Sao Paulo,non_person,place,"Q174 is the city of Sao Paulo, Brazil (very low QID = major entity).",proposed
Q179743,Bringing Up Baby,non_person,media,"1938 American screwball comedy film, not a martial artist",proposed
Q181966,Naha,non_person,place,"Naha is the capital city of Okinawa (cradle of Naha-te); style field includes a bank and a video game, confirming a city article.",proposed
Q182634,rickshaw,non_person,other,Human-pulled vehicle; the 2019 'birth' year is spurious. Not a person.,proposed
Q1898583,marine force,non_person,concept,Entity is the generic 'Marines' concept (type of military force); style field contains 'counter-terrorism'. Not a person.,proposed
Q192660,Battle of Okinawa,non_person,event,"1945 Second World War battle; leaked via Okinawan karate history context, not a person.",proposed
Q193428,Sakai,non_person,place,"Sakai is a city in Osaka Prefecture; no dates, generic style tags.",proposed
Q199889,Kumamoto,non_person,place,"Kumamoto is a Japanese city/prefecture; 'death' 1611 is a historical date (likely Kato Kiyomasa era), not a lifespan.",proposed
Q200333,hapkido,non_person,other,"Korean martial art (style-as-entity), not a person; birth 2015 is nonsense",proposed
Q2074666,Machado family,non_person,other,"Wikidata P31 = family (Q8436): the Machado BJJ family as a group, not an individual; split into individual members if needed",proposed
Q21491914,Maekawa,non_person,other,"Enwiki 'Maekawa' is a surname/disambiguation page, and this QID range corresponds to a Wikidata family-name entity, not a specific person; the attached 1912-2010 dates indicate a bad merge with an unidentified individual.",proposed
Q2304626,Southeast,non_person,other,"'Southeast' is a compass-direction disambiguation page; 1920-1924 are stray dates, not a lifespan.",proposed
Q23666,Great Britain,non_person,place,"Q23666 is the island of Great Britain; 'birth' 2012 and 'death' 1625 are nonsense. A place, not a martial artist.",proposed
Q2408025,catch wrestling,non_person,concept,Grappling style as an entity; the 2011 'birth' year is spurious.,proposed
Q30,United States,non_person,place,Q30 is the country United States; years 2009/8418 are nonsensical for a person. Classic low-QID major entity leak.,proposed
Q3210517,Shaolin Mantis,non_person,media,"Shaolin Mantis is a 1978 Shaw Brothers kung fu film (wiki URL points to the 1978 film article); a media work, not a person.",proposed
Q3274794,Camp Zama,non_person,place,"US Army post in Kanagawa, Japan; venue where servicemen trained, not a person.",proposed
Q328615,Okinawa,non_person,place,"Okinawa City (formerly Koza), a municipality in Okinawa Prefecture; style field contains US military administration entities, confirming a city article.",proposed
Q340,Montreal,non_person,place,"Canadian city; very low QID typical of major entities, birth 1960 is nonsense",proposed
Q348957,White tiger,non_person,other,"Animal/disambiguation entry for 'white tiger'; likely leaked via a style name or fighter nickname, not a person.",proposed
Q363025,The American,non_person,media,Wikidata disambiguation page for creative works titled 'The American'; not a person.,proposed
Q373498,dan,non_person,concept,"Rank/grade concept in martial arts, not a person",proposed
Q38283,Yokohama,non_person,place,Japanese city; birth 2024 is nonsense,proposed
Q403803,Number One,non_person,other,"'Number One' is a disambiguation/concept page (likely scraped from a ranking or nickname phrase), not a person; no dates.",proposed
Q40795,kata,non_person,concept,"Generic concept of kata (forms) in Japanese/Okinawan martial arts, not a person.",proposed
Q41705,Fujian,non_person,place,"Fujian is the Chinese province (origin region of White Crane and other karate antecedents), not a person; Q41705 is the province and the birth year '0229' is nonsense. Leaked into the person table as a lineage antecedent.",proposed
Q42530280,Wamp 2 Dem,non_person,media,"Mixtape by British rapper Giggs; the 2016 'birth' year is a release-era date, not a person.",proposed
Q4539628,The Okinawa Times,non_person,organisation,"The Okinawa Times is a newspaper, likely scraped because it reported on karate figures.",proposed
Q47146337,alcohol,non_person,other,"Chemical substance/beverage class, not a person",proposed
Q478958,Western culture,non_person,concept,Cultural concept; years 0743-1900 are nonsense,proposed
Q49,North America,non_person,place,Q49 is the continent North America; style field contains 'Basse-Terre'. 'Death' 2004 is garbage.,proposed
Q4935308,Bobby Lowe,non_person,wrong_entity,"Wikidata-verified as Robert Lincoln ""Link"" Lowe (1865-1951), American baseball player wrongly matched; the karateka Bobby Lowe is Q221797, which already carries the Mas Oyama edge.",proposed
Q525270,American Kenpo,non_person,concept,"American Kenpo is a martial art style (Ed Parker's system), not a person; 'birth' 2015 is nonsense for a human and confirms a style/article entity.",proposed
Q53842,Kuroshio Current,non_person,other,"The Kuroshio is an ocean current in the western Pacific, a geographic/oceanographic feature; 1476-2007 are not human dates.",proposed
Q60,New York City,non_person,place,"Q60 is New York City; low-QID major entity, not a person.",proposed
Q605735,Hideo Yamamoto,non_person,wrong_entity,"Wikidata-verified as the manga artist Hideo Yamamoto (b. 1968, Ichi the Killer) wrongly matched; the karateka is Q15987804, which already carries the Masatoshi Nakayama edge.",proposed
Q608415,Shuri,non_person,place,"Former Okinawan royal capital (now district of Naha), origin of Shuri-te but a place; birth 1989 is nonsense",proposed
Q65,Los Angeles,non_person,place,"Q65 is the city of Los Angeles (very low QID = major entity); style field contains a newspaper and a college, confirming a city page.",proposed
Q664,New Zealand,non_person,place,Q664 is the country New Zealand (very low QID = major entity); 'death' 5886 is garbage data.,proposed
Q68481,Fuzhou,non_person,place,Chinese city in Fujian (cradle of White Crane antecedents but a place); birth 2262 is nonsense,proposed
Q6960159,Nakahara,non_person,other,"Enwiki 'Nakahara' is a surname/place disambiguation page, not a specific person; no dates, no specific style.",proposed
Q7129609,Caucasian race,non_person,concept,Obsolete anthropological classification; birth year 3589 is spurious. Not a person.,proposed
Q713750,West Germany,non_person,place,Former country (Federal Republic of Germany); years 1912-1959 are nonsense scrape artefacts,proposed
Q714329,Hirara,non_person,place,"Hirara is a former city on Miyako Island, Okinawa (merged into Miyakojima 2005); 'birth' 2006 is an administrative date, not a lifespan.",proposed
Q7385615,Ryu-te,non_person,concept,Ryu-te is the style founded by Taika Seiyu Oyata; the 1928-2012 dates are Oyata's own lifespan attached to the style entity. The style QID has displaced the man; the person node should be Seiyu Oyata.,proposed
Q7561025,Song Moo Kwan,non_person,organisation,"One of the original Korean taekwondo kwans (school founded 1944); the row dates 1919-2015 are those of its founder Ro Byung-jik, confirming the QID is the school, not the man.",proposed
Q766445,Okinawa Prefecture,non_person,place,"Japanese prefecture, not a person",proposed
Q7953,Zen,non_person,concept,"School of Mahayana Buddhism; very low QID major topic, not a person.",proposed
Q7972225,Washington State,non_person,place,"US state / place-name disambiguation entity, not a person.",proposed
Q845354,sai,non_person,weapon,"The sai, an Okinawan kobudo truncheon weapon (entity may be a Sai disambiguation page); dates 1944/1884 are spurious.",proposed
Q847709,Red Beard,non_person,media,Red Beard is the 1965 Kurosawa film; the 'Chishu Ryu' style tag is actually the actor Chishu Ryu's name mis-parsed as a ryu (style).,proposed
Q849649,wisdom in Buddhism,non_person,concept,"Prajna, a Buddhist concept; birth 2012 is nonsense",proposed
Q907052,Shuri Castle,non_person,place,"Ryukyuan royal castle in Naha; 1958 is a reconstruction date, not a birth year.",proposed
Q932795,kumite,non_person,concept,"Sparring component of karate training, a practice not a person",proposed
Q961126,Bojutsu,non_person,technique,"Japanese/Okinawan staff fighting art, a discipline not a person",proposed
C00014,Chikin Kuraka,person,other,"[panel, medium confidence] Okinawan-dialect rendering (Chikin = Tsuken) of Tsuken Kuragwa, a kobudo figure attested in Ryukyu kobudo lineage literature (Tsuken no kun / Tsuken sunakake no eku tradition). Surname-first in the entry; Western order is Kuragwa Tsuken. Same referent as existing nodes C00179/C00289 (Koragwa Tsuken), so flag as duplicate of those.",proposed
C00039,Franklin DR Hargrove,person,other,"[panel, high confidence] Real American Shorin-ryu Shorinkan teacher (student of Shugoro Nakazato, Hampton, Virginia, author on karate history). The embedded 'DR' is a displaced doctoral title from the source text; conventional form is Frank Hargrove.",proposed
C00058,Franklin DR Hargrove,person,other,"[panel, high confidence] Exact duplicate of C00039, same malformed 'DR' title; same real Shorin-ryu teacher Frank Hargrove. Keep as person but merge with C00039.",proposed
C00067,Gabi Haka,non_person,other,"[panel, medium confidence] No attestation in any karate/kobudo lineage source found by web search, and neither token is a plausible Japanese/Okinawan surname ('haka' = grave, 'gabi' matches no Okinawan name or nickname pattern). Reads as scrape garbage rather than a truncated real name.",proposed
C00126,Hoa Funsai,non_person,other,"[panel, low confidence] Zero web presence in karate lineage sources; 'funsai' is the ordinary Japanese noun for pulverisation and 'Hoa' is not a Japanese/Okinawan/Chinese surname romanisation. Does not match any known Chinese antecedent figure (Ason, Iwah, Waishinzan, Anan etc.); most likely a garbled fragment. Low confidence only because a badly romanised Chinese name cannot be fully excluded.",proposed
C00131,Hsiao Yao,person,other,"[panel, low confidence] Wade-Giles 'Hsiao Yao' is a coherent Chinese personal name (Xiao is a common surname), the kind of Chinese teacher name that appears on kenpo/karate antecedent charts. No specific individual verifiable by search, and 'xiaoyao' is also a Daoist term, but per keep-bias for coherent Chinese names it is retained as a person, low confidence.",proposed
C00143,Isugio Yonezawa,person,other,"[panel, high confidence] 'Isugio' is an OCR/typo corruption of Tsugio (I/T confusion); same person as existing node C00623 Tsugio Yonezawa. Keep as person and merge as duplicate.",proposed
C00156,Jitude Moshigwa Ire,person,other,"[panel, low confidence] 'Moshigwa' fits the genuine Uchinaaguchi nickname pattern (Mōshi + diminutive -gwa; cf. Motobu Choki's childhood name Mōshi) and Ire/Irei is a real Okinawan surname, so 'Moshigwa Ire' is a plausible dojo-chart figure. The leading token 'Jitude' is an unexplained scrape artefact and is dropped in the corrected name. No web attestation; kept under the keep-plausible-people rule.",proposed
C00157,Jizen,non_person,other,"[panel, low confidence] Single token with no surname; not a recognisable karateka in any lineage source. 'Jizen' is an ordinary Japanese word (charity) and may be a garbled kata name (Jion) or prose fragment. No basis to reconstruct a person from it.",proposed
C00177,Kanbun Uechi Jnr,person,other,"[panel, medium confidence] 'Kanbun Uechi Jnr' is a malformed reference to Kanbun Uechi's son and successor as head of Uechi-ryu, Kanei Uechi (1911-1991), a well-documented real person. Correct to Kanei Uechi and check for merger with any existing Kanei Uechi node.",proposed
C00196,Makabe UDUN,person,other,"[panel, medium confidence] In Okinawan te literature 'Makabe Udun' denotes the individual noble of the Makabe princely house, the late-18th-century te expert Makabe Chōken/Chokufu, nicknamed Makabe Chān (famed for jumping kicks), attested in Tomari-te/Shuri-te histories and in accounts of the Kojo dojo in Fuzhou. Keep as person; identification with Makabe Chōken is probable but not certain, so no corrected_name is imposed.",proposed
C00208,Kata Yamashiro,person,other,"[panel, low confidence] Yamashiro is a genuine Okinawan karate surname (e.g. Okinawa Kenpo's Yamashiro line) but 'Kata' is not a credible given name; the given name is most likely truncated or contaminated by the word kata in the source text. No specific Yamashiro identifiable by search. Kept as a person node under the keep-bias, flagged low confidence for manual review of the given name.",proposed
C00251,Ki Teruya,person,other,"[panel, medium confidence] Almost certainly truncated 'Kishin Teruya' (1804-1864), the documented Tomari-te master who taught Kosaku Matsumora and Kokan Oyadomari (Passai, Rohai, Wanshu); Teruya Kishin has his own Wikipedia coverage (pt-wiki) and appears throughout Tomari-te histories. Fits the dataset's Okinawan lineage context far better than modern Teruyas.",proposed
C00262,Kodatsu Tha,person,other,"[panel, high confidence] 'Tha' is a clear garble of 'Iha' (capital I read as T); Kodatsu Iha (1873-1928), Tomari-te student of Kosaku Matsumora, is a documented figure. Duplicate of existing node C00261; keep as person and merge.",proposed
C00285,Kokuba,person,other,"[panel, low confidence] Bare surname, but in a karate lineage chart 'Kokuba' most plausibly denotes Kosei Kokuba (Kuniba, 1900-1959), student of Choki Motobu and founder of Seishin-kai, rather than the Naha district. Kept as person under the keep-bias; low confidence because the given name is absent and the district reading cannot be excluded.",proposed
C00318,Makabe UDUN,person,other,"[panel, medium confidence] Exact duplicate of C00196: Makabe Udun, the Makabe-house noble te expert (Makabe Chōken/Chokufu, 'Makabe Chān') attested in Okinawan te literature. Keep as person and merge with C00196.",proposed
C00321,Mamori Kama,non_person,other,"[panel, low confidence] Neither token is a surname: 'mamori' is the common noun 'protection/guard' and 'kama' is the sickle weapon (also an Okinawan given name, but a given name alone with a common noun is not a person entry). No attestation in any lineage source; reads as a weapons-text fragment. Low confidence because an Okinawan nickname reading is conceivable.",proposed
C00357,Ten Senshi,non_person,other,"[panel, low confidence] 'Ten senshi' reads as a prose fragment ('ten warriors/senshi'), not a personal name: no Japanese/Okinawan/Chinese surname present and no attestation in lineage sources. Appears twice in the dataset (C00585), consistent with a repeated scrape artefact rather than a person.",proposed
C00366,Miinshiin Higa,person,other,"[panel, low confidence] Higa is one of the commonest Okinawan karate surnames and 'Miinshiin' matches Uchinaaguchi nickname romanisation (long doubled vowels), the pattern used for obscure te men in dojo lineage charts and in Bishop/Nagamine-type sources. No web attestation, but the name is structurally plausible; kept under the keep-plausible-people rule for manual review.",proposed
C00376,Motobu Saru,person,other,"[panel, high confidence] 'Motobu no Saru' (Motobu the Monkey) is the well-documented nickname of Choki Motobu (1870-1944). Real person, but this node duplicates the existing Choki Motobu node and should be merged into it.",proposed
C00385,Nanko Mine,person,other,"[panel, medium confidence] Matches Nanko Minei, a real and currently active Okinawan Goju-ryu 10th dan from Nanjo City (Minei Dojo, opened 1973; senior student of Miyasato in the OGKK line). 'Mine' is a truncation of the surname Minei; not a place-name fragment.",proposed
C00404,One-Eyed Toguchi,person,other,"[panel, high confidence] Nickname entry for Seijin 'One-Eyed' Toguchi (1895-1937), attested in Tomari-te lineage literature as a successor of Kodatsu Iha, who also appears in this dataset (C00261/C00262). Real person; flag as possible duplicate of any existing Seijin Toguchi node.",proposed
C00405,Oni Bucho,non_person,other,"[panel, low confidence] No attestation anywhere in karate or kobudo lineage sources. 'Oni bucho' is a generic Japanese epithet (demon + section chief, a common workplace trope), not an Okinawan name pattern; nickname-only lineage figures exist (cf. C00404) but this one resolves to no known referent, so treated as a prose/scrape fragment.",proposed
C00432,Ryoichi Onis,person,other,"[panel, low confidence] 'Onis' is a truncated surname; 'Ryoichi Onishi' is a coherent Japanese name and a martial artist of that name (karate background, later Systema Osaka founder) exists. Whether that specific individual is the intended lineage entry is unverified, but the name is plausibly real, so kept per the keep-plausible-people rule.",proposed
C00452,Sazan Kozan,non_person,other,"[panel, medium confidence] Zero attestation as a person in any karate source; only web hits are unrelated Turkish/Albanian toponyms. Neither token works as an Okinawan/Japanese surname or given name; most consistent with garbled kata or place terms (Sesan, Kozan/Kusanku), as the panel suspected.",proposed
C00516,Shinto Shizen,non_person,concept,"[panel, high confidence] Garbled style name, not a person: Shindo Jinen-ryu (the characters for 'jinen' are also read 'shizen'), the karate style founded by Yasuhiro Konishi. A style-name fragment that leaked into the person list.",proposed
C00522,Shoi Sai,person,other,"[panel, low confidence] No web attestation, but 'Sai' is the standard Ryukyuan reading of the Kume-village Chinese clan surname Cai (cf. Sai On, Sai Taku), and 'Shoi' is a plausible Sino-Ryukyuan given-name reading; parses as a coherent Kume/Chinese lineage name in the dataset's given-name-first order. Kept per the keep-plausible-people rule; the weapon-word coincidence with 'sai' is not disqualifying.",proposed
C00582,Teamaai Uehara,person,other,"[panel, low confidence] Uehara is a common real Okinawan martial-arts surname (Seikichi, Saburo Uehara etc.) and 'Teamaai' reads like a romanised Okinawan nickname of the '-maai/-me' diminutive type seen elsewhere in this dataset (cf. Moshigwa Ire). No web attestation found, but consistent with an obscure dojo-chart practitioner; kept per the keep-plausible-people rule. No confident correction available.",proposed
C00585,Ten Senshi,non_person,other,"[panel, medium confidence] Duplicate of C00357. 'Ten senshi' parses as Japanese prose ('ten warriors/masters'), not as a surname-plus-given-name in any relevant naming system, and no lineage source attests such a person. Treated as a scraped prose fragment.",proposed
C00634,Tung Chin,person,other,"[panel, low confidence] Coherent Wade-Giles Chinese name (Tung/Dong + Chin/Jin), and Chinese antecedent teachers are in scope for this dataset; real masters named Tung Chin- (e.g. Tung Chin-Lung) exist, so it may also be a truncation of a longer given name. No karate-specific attestation found, but plausible as an obscure Chinese lineage teacher; kept per the keep-plausible-people rule.",proposed
