source,target,source_name,target_name,action,repoint_to,reason,status,new_confidence
Q1963468,Q715769,Shoshin Nagamine,Matsumura Sokon,drop,,"False in both directions: Matsumura died around 1899 and Nagamine was born in 1907, so no direct tuition was possible either way; a flip would still be chronologically impossible. The 'student_keyword' hit is from lineage prose (Nagamine's Matsubayashi-ryu traces to Matsumura, and Nagamine wrote biographical accounts of him in Tales of Okinawa's Great Masters). This is the edge that creates the five-node cycle; dropping it resolves the cycle cleanly.",proposed,
Q3482635,Q2025214,Shugoro Nakazato,Tadashi Yamashita,keep,,Correct direction: Tadashi Yamashita is a senior student of Shugoro Nakazato in Shorin-Ryu Shorinkan and received high dan grades under him. Birth order consistent (1919 -> 1942). Strong multi-signal evidence.,proposed,
Q2025214,Q3482635,Tadashi Yamashita,Shugoro Nakazato,drop,,"Reverse duplicate of the true Nakazato -> Yamashita edge, produced by a 'student_keyword' misparse on one of the two pages. Yamashita did not teach Nakazato. Dropping (rather than flipping) avoids creating a duplicate of the kept edge.",proposed,
Q1360025,Q713750,Taiji Kase,West Germany,drop,,Non-person endpoint: West Germany is a country. Misparsed text about Kase teaching Shotokan in Europe/Germany. Not a teacher-student relationship.,proposed,
Q11064618,Q27363,bo,Tatsuo Shimabuku,drop,,"Non-person endpoint: 'bo' is the staff weapon, misparsed from text about the kobudo (bo kata) Shimabuku incorporated into Isshin-Ryu. His actual weapons teachers (Taira Shinken, Moden Yabiku line) would be separate person edges.",proposed,
Q709520,Q7397534,Tetsuhiko Asai,Sadamu Uriu,keep,,"Plausible and consistent with the record despite the 6-year age inversion. Uriu's primary teacher was Nakayama at Takushoku, but per Wikipedia he had 'a lifetime of friendship and training with' Asai, represented Asai's JKS/Shotorenmei line in Brazil, and was promoted to 8th dan under Asai; Asai's infobox lists Uriu among his students. A slightly younger but organisationally senior instructor teaching an older one is unremarkable in post-war JKA structures. Keep, with the caveat that this is instructor-within-organisation tuition rather than Uriu's formative training.",proposed,
Q135222893,Q478958,Tsuyoshi Chitose,Western culture,drop,,"Non-person endpoint: 'Western culture' is a concept, misparsed from prose about Chito-Ryu's spread to the West. Not a relationship.",proposed,
Q7953,Q7953,Zen,Zen,drop,,"Self-loop on a non-person entity (Zen Buddhism), pure scrape noise from philosophical context on a karate page.",proposed,
Q1147708,Q2943981,Motobu Choki,Tatsuo Yamada (actor QID),repoint_target,Q11470681,Verified by two curators: Q2943981 is a Japanese actor (1956-2009); Motobu Choki's student is the karateka Tatsuo Yamada Q11470681 (1905-1967).,proposed,
Q135222893,Q6830460,Tsuyoshi Chitose,Michael G Foster,drop,,"[low-conf audit] Tsuyoshi Chitose was not Michael G. Foster's direct teacher. Foster's Wikipedia article states his karate training was under Mamoru Yamamoto (Yoshukai founder, then still affiliated with Chitose's Chito-ryu): Foster lived and trained in Yam https://en.wikipedia.org/wiki/Michael_G._Foster",proposed,
Q1360025,Q471629,Taiji Kase,Hirokazu Kanazawa,drop,,"[low-conf audit] Taiji Kase (b. 1929) and Hirokazu Kanazawa (b. 1931) were JKA contemporaries, not teacher and student. Kanazawa's Wikipedia names his teachers as Masatoshi Nakayama and Gichin Funakoshi and never mentions Kase. Kase's own article mentions K https://en.wikipedia.org/wiki/Hirokazu_Kanazawa https://en.wikipedia.org/wiki/Taiji_Kase",proposed,
Q1360025,Q896129,Taiji Kase,Hideo Ochi,keep,,[low-conf audit] Kase's Wikipedia article explicitly states that in his JKA instructor-training role 'amongst his students were Keinosuke Enoeda and Hiroshi Shirai as well as Hideo Ochi'. This is consistent chronologically: Kase was a senior JKA instructor  https://en.wikipedia.org/wiki/Taiji_Kase https://en.wikipedia.org/wiki/Hideo_Ochi,proposed,medium
Q3115887,Q5361556,Kenji Midori,Hajime Kazumi,drop,,"[low-conf audit] Kenji Midori was Hajime Kazumi's senpai (senior), not his teacher. Kazumi's Wikipedia article lists Midori among 'his seniors in Kyokushin' alongside Sakai, Yamaki, Kaneko and Iwasaki, and identifies Kazumi's actual teacher as Tsuyoshi Hiro https://en.wikipedia.org/wiki/Hajime_Kazumi",proposed,
Q386415,Q136799394,Hironori Otsuka,Robert Heisner,keep,,"[low-conf audit] Keep only at low confidence. Heisner's Wikipedia article lists both 'Shihan Hironori Otsuka' and Cecil T. Patterson (Otsuka's US East Coast representative) for his Wado-ryu training and nidan grading in Nashville, and records Heisner presen https://en.wikipedia.org/wiki/Robert_Heisner https://en.wikipedia.org/wiki/Hironori_%C5%8Ctsuka",proposed,low
Q4992628,Q560761,Yoshimi Osawa,Jon Bluming,keep,,"[low-conf audit] Documented: Bluming's Wikipedia states that at the Kodokan he 'trained under names like Toshiro Daigo, Yoshimi Osawa and Kazuo Ito'. Genuine teacher-student instruction, but note two caveats for the graph: this is a judo edge (Kodokan), not https://en.wikipedia.org/wiki/Jon_Bluming",proposed,medium
Q4992635,Q560761,Toshiro Daigo,Jon Bluming,keep,,"[low-conf audit] Documented on the same basis as the Osawa edge: Bluming's Wikipedia names Toshiro Daigo among his Kodokan judo instructors. Same caveats: judo rather than karate lineage, and institutional Kodokan instruction; medium confidence. https://en.wikipedia.org/wiki/Jon_Bluming",proposed,medium
Q584466,Q221121,Arakaki Seisho,Chojun Miyagi,drop,,"[low-conf audit] Name-confusion artefact. Chojun Miyagi's first teacher was Ryuko Aragaki (a different Aragaki), who taught him from age 11 and introduced him to Kanryo Higaonna at 14; Miyagi then trained under Higaonna for ~15 years. Arakaki Seisho's Wikip https://en.wikipedia.org/wiki/Ch%C5%8Djun_Miyagi https://en.wikipedia.org/wiki/Seish%C5%8D_Arakaki",proposed,
Q7447367,Q3954660,Seko Higa,Seikichi Toguchi,keep,,"[low-conf audit] Strongly documented. Toguchi's Wikipedia states he began his lifelong Goju-ryu study at Seko Higa's dojo in 1930 (age 15), studied under Higa for over 33 years (and under Miyagi for over 25), and that after WWII Higa moved in with Toguchi.  https://en.wikipedia.org/wiki/Seikichi_Toguchi",proposed,high
Q920672,Q11472844,Hatsuo Royama,Hiroto Okazaki,keep,,[low-conf audit] Strongly documented. Japanese Wikipedia records Okazaki Hiroto becoming an uchi-deshi (live-in student) at the Royama dojo in 1979 ('1979年 盧山道場内弟子'); the WEB Hiden master profile and Kyokushin-kan organisational pages confirm he received in https://ja.wikipedia.org/wiki/%E5%B2%A1%E5%B4%8E%E5%AF%9B%E4%BA%BA https://webhiden.jp/master/okazaki-hiroto/,proposed,high
Q1336547,Q921673,Peichin Takahara,Kanga Sakukawa,repoint_target,A0017,"[early-masters research] Chronologically impossible as scraped (Peichin Takahara died before Kanga Sakukawa's birth in 1786): per Wikipedia's Takahara/Sakugawa articles the student was Sakugawa Kangi (c.1733-1815), Kanga's father. Edge repointed to Kangi.",proposed,
Q1929108,Q921673,Kusanku,Kanga Sakukawa,repoint_target,A0017,"[early-masters research] Chronologically impossible as scraped (Kusanku died before Kanga Sakukawa's birth in 1786): per Wikipedia's Takahara/Sakugawa articles the student was Sakugawa Kangi (c.1733-1815), Kanga's father. Edge repointed to Kangi.",proposed,
Q3482287,Q8056246,,,drop,,"[wave4 quality] wrong-entity scrape artefact: Q8056246 (en-wiki Yoshio Nakamura, b.1970, judoka) cannot be a student of Shinpan Gusukuma (d.1954); the Wikidata P802 claim matched the wrong namesake",proposed,
Q1929108,Q542989,Kusanku,Chatan Yara,keep,,"[audit:chinese-antecedents; verifier: confirmed] The only primary source on Kusanku, the 1762 Oshima Hikki, records a demonstration witnessed by Shiohira Peichin and names no students. The Yara link is oral tradition recorded only in modern accounts, and chronology is strained: en.wikiped",proposed,medium
Q542989,Q1336547,Chatan Yara,Peichin Takahara,keep,,"[audit:chinese-antecedents; verifier: confirmed] Reported on en.wikipedia (Yara 'is most noted for teaching Takahara Peichin') but rests entirely on oral tradition with no period documentation, and works only under the 1668-1756 dating of Yara; the widely repeated alternative dating (1740",proposed,medium
A0189,Q16907056,Pan Yuba,Xie Zongxiang,keep,,"[audit:chinese-antecedents; verifier: confirmed] Consistently reported in the Minghequan lineage record (Xie Zongxiang 謝崇祥, 'Ru Ru' 如師, as the next-generation master), but attested only through 20th-century lineage tradition and Fuzhou wushu-association compilations, not period documentat",proposed,medium
Q557301,Q2149940,Ankichi Arakaki,Richard Kim,drop,,"[audit:early-shuri-tomari; verifier: confirmed] Wrong namesake. Richard Kim's Hawaii karate teacher was Arakaki SADAO, 'who represented Yabu in Hawaii' (post-1927), per the en-Wikipedia article Richard Kim (karate), whose teacher list includes Arakaki Sadao and never mentions Arakaki Ank",proposed,
C00550,C00494,Soko Kishimoto,Seitoku Higa,keep,,"[audit:early-shuri-tomari; verifier: confirmed] Confirmed by a primary source: Higa Seitoku's own 1966 account (archived on motobu-ryu.org) states he trained under Kishimoto Soko (岸本祖孝), then aged 65-66, from his first year of middle school. Upgrade from medium to high; the current evide",proposed,high
A0116,C00494,Kijun Kishimoto,Seitoku Higa,keep,,"[audit:early-shuri-tomari; verifier: confirmed] Confirmed by the same primary 1966 account: Higa writes he first learned karate in 5th grade of elementary school from Kishimoto Kijun (岸本喜順), a man who worked in his household. This also proves Kijun Kishimoto is a distinct person from Sok",proposed,medium
Q706726,Q13424717,Gozo Shioda,Kyoichi Inoue,keep,,"[audit:early-shuri-tomari; verifier: confirmed] Inoue entered the Yoshinkan in 1955, trained directly under founder Gozo Shioda, and became the second kancho (head) of the Yoshinkan in 2002; clearly documented in Japanese sources.",proposed,high
Q1071733,Q4351940,Choshin Chibana,Yasuhiro Konishi,keep,,"[audit:shorin-kobayashi; verifier: confirmed] Chibana appears only in Konishi's Wikipedia infobox; the article text discusses training with Funakoshi, Motobu, Mabuni, Miyagi and Ueshiba but never Chibana. Infobox-only with no textual or secondary corroboration does not merit medium.",proposed,low
Q1071733,C00034,Choshin Chibana,Eizo Shimabukuro,keep,,"[audit:shorin-kobayashi; verifier: confirmed] Eizo's own account (usadojo bio): from 1962-63 Chibana 'corrected all of my kata'. Consistently reported across his biographies, so medium rather than low.",proposed,medium
Q1071733,C00212,Choshin Chibana,Katsumi Murakami,keep,,"[audit:shorin-kobayashi; verifier: confirmed] Murakami Katsumi (author of Karate-do to Ryukyu kobudo) is listed among Chibana's direct disciples in the Chinese Wikipedia Chibana article and in the Motobu-ryu research note on Chibana's students, upgrading this from a single blog source.",proposed,medium
Q1071733,C00623,Choshin Chibana,Tsugio Yonezawa,keep,,[audit:shorin-kobayashi; verifier: confirmed] Yonezawa (米沢次男/ツギオ) is named among Chibana's direct disciples in both the Japanese and Chinese Wikipedia articles already cited; two independent-language wiki listings support medium.,proposed,medium
C00094,Q15987228,Jiro Shiroma,Yuchoku Higa,keep,,"[audit:shorin-kobayashi; verifier: confirmed] Higa Yuchoku's Wikipedia article states explicitly in the body text that 'In 1927, he began training under Jiro Shiroma'; this is stronger than the current low.",proposed,medium
C00291,Q15987228,Seiyei Miyahira,Yuchoku Higa,keep,,[audit:shorin-kobayashi; verifier: confirmed] Seiei Miyahira is named as one of Higa Yuchoku's four teachers in the Wikipedia infobox of the cited article; consistently reported in Kyudokan lineage material.,proposed,medium
Q705617,Q15987180,Chomo Hanashiro,Chozo Nakama,keep,,"[audit:shorin-kobayashi; verifier: confirmed] Hanashiro's Wikipedia article names Nakama Chozo (1899-1982) among his 'most eminent disciples' in the body text, and the official Motobu-ryu research note documents that Nakama's widely transmitted Gojushiho came from Hanagusuku (Hanashiro",proposed,high
Q5103850,Q6378081,Chogi Kishaba,Katsuhiko Shinzato,keep,,"[audit:shorin-kobayashi; verifier: plausible] The Shorin-ryu Kishaba Juku Wikipedia article states in the text that Shinzato studied bojutsu with Chogi Kishaba (Chokei's younger brother, student of Masami Chinen); corroborated across Yamanni-ryu lineage sources.",proposed,high
Q1071733,A0041,Choshin Chibana,Yoshihide Shinzato,keep,,"[audit:shorin-kobayashi; verifier: confirmed] Spanish Wikipedia biography and the Shinshukan organisation history document that Shinzato joined Chibana's academy and trained under him until Chibana's death in 1969, before founding Shorin-ryu Shinshukan in Brazil.",proposed,high
A0053,A0058,Chotoku Omine,Frank Grant,drop,,"[audit:shorin-matsubayashi; verifier: confirmed] Grant's biographies (Matsunoki/WSKF, Finding Karate search extracts) name his teachers as James Wax (1959), Ansei Ueshiro (1962) and Shoshin Nagamine (Okinawa, 1966). Omine is documented only as accompanying Nagamine on a 1969 visit to Gran",proposed,
Q4770567,A0060,Ansei Ueshiro,Terry Maccarrone,keep,,[audit:shorin-matsubayashi; verifier: confirmed] Ueshiro Shorin-Ryu Karate USA org history states Maccarrone became dojo owner and Sensei under Ueshiro in 1969 and that Ueshiro personally awarded him Kyoshi 7th dan and instructor menkyo in 1992. Consistently reported within the founder's ,proposed,medium
Q1963468,A0064,Shoshin Nagamine,Eihachi Ota,keep,,"[audit:shorin-matsubayashi; verifier: plausible] Ota trained weekends at Nagamine's home dojo while a student of Shima Masao, and the English Wikipedia Matsubayashi-ryu article lists Ota as director of the SKKA North American organisation, i.e. a recognised Nagamine-line senior. Consisten",proposed,medium
C00034,Q862634,Eizo Shimabukuro,Bill Wallace,drop,,"[audit:shorin-shobayashi-seibukan; verifier: plausible] Wallace's own Wikipedia biography states he began Shorin-ryu in February 1967 under Michael Gneck (a US Air Force instructor in the Shobayashi lineage), not under Eizo Shimabukuro. No reliable source documents direct training under Eizo; th",proposed,
Q38585428,A0020,Shigeru Nakamura,Shian Toma,keep,,"[audit:shorin-shobayashi-seibukan; verifier: plausible] English Wikipedia lists Nakamura Shigeru among Toma's teachers, and the Motobu-ryu soke organisation's official blog independently states Toma Shian of Seidokan came out of the Okinawa Kempo (Nakamura) lineage before joining Uehara. Two ind",proposed,medium
Q189805,A0045,Zenryo Shimabukuro,Walter Dailey,keep,,"[audit:shorin-shobayashi-seibukan; verifier: confirmed] Dailey's documented interview in Tales from the Western Generation and the US Rengokai biography record him joining Zenryo Shimabukuro's training in Okinawa in early 1960 and opening the first US Seibukan dojo in Norwood, PA in 1962. Clearl",proposed,high
Q15987180,C00672,Chozo Nakama,Zenpo Shimabukuro,keep,,"[audit:shorin-shobayashi-seibukan; verifier: confirmed] The English Wikipedia article on Shorin-ryu Seibukan explicitly documents Zenpo (with his cousin Zenji) training under Chozo Nakama, a foremost Chibana disciple, after formal introduction by Zenryo; corroborated by the Ageshio Japan profile",proposed,high
C00478,C00066,Seikichi Uehara,Fusei Kise,keep,,[audit:matsumura-seito; verifier: confirmed] The official Motobu-ryu blog (Motobu Naoki) explicitly names 喜瀬富盛 (Fusei Kise) of the Kenshinkan among the teachers who studied under Uehara Seikichi in the 1950s-60s and later downplayed the connection. This is a near-official organisation,proposed,medium
A0072,C00066,Nobutake Shingake,Fusei Kise,keep,,[audit:matsumura-seito; verifier: confirmed] Kise's own organisation timeline states that in 1955 he became a student of Shingake Nobutake and received his shodan from him; shuriway repeats it. Note the family relation is disputed (shuriway calls Shingake a grandfather in one version;,proposed,medium
C00066,A0070,Fusei Kise,Ronald Lindsey,keep,,[audit:matsumura-seito; verifier: confirmed] First-person testimony in the Ikigai Way interview: Lindsey trained in Kise's dojo in Okinawa 1968-70 as the only American there and states 'I studied with Kise'. Corroborated by his obituary. Low is too weak for a direct first-person accou,proposed,medium
C00066,A0069,Fusei Kise,Seizan Kinjo,keep,,"[audit:matsumura-seito; verifier: confirmed] Lindsey's interview describes Kinjo as 'a student of both Hohan Soken and Fusei Kise' and describes Kinjo training in Kise's dojo, from an eyewitness who trained alongside him.",proposed,medium
Q3139173,A0070,Hohan Soken,Ronald Lindsey,keep,,"[audit:matsumura-seito; verifier: confirmed] Lindsey states directly: 'Especially the summer of 1970 I would go with Seizan Kinjo and we would train in Soken's dojo', describing Soken demonstrating and countering. Direct but limited-duration training, so medium (not high) is right.",proposed,medium
Q276730,A0076,Kosei Nishihira,Steve Watson,keep,,"[audit:matsumura-seito; verifier: confirmed] Wikipedia's Nishihira article names exactly five recognised students: 'Giuseppe Meloni (representative for Europe), Ricky Rose (U.S.A), Theodore Lange (Australia), Steve Watson (Australia), Richard Boyden'. Watson is named in the same sente",proposed,medium
Q276730,A0077,Kosei Nishihira,Richard Boyden,keep,,"[audit:matsumura-seito; verifier: confirmed] Boyden is one of the five students explicitly recognised by Nishihira per the Wikipedia article, in the same sentence as the Meloni/Rose/Lange edges rated medium. Raise for consistency.",proposed,medium
C00066,A0112,Fusei Kise,Larry Isaac,keep,,"[audit:matsumura-seito; verifier: confirmed] Keep at low: the only evidence remains Isaac's own school biography (he lists Kise among four Okinawan teachers). Plausible for a career Marine on Okinawa, but no independent corroboration found; do not raise.",proposed,low
Q3139173,A0074,Hohan Soken,Ricky Rose,keep,,"[audit:matsumura-seito; verifier: confirmed] Keep at low: Rose appears in Soken's Wikipedia student roster (body and infobox), but his documented primary teacher in the Matsumura Seito line is Nishihira; direct instruction from Soken rests on the roster listing only.",proposed,low
Q3139173,A0075,Hohan Soken,Theodore Lange,keep,,"[audit:matsumura-seito; verifier: confirmed] Keep at low: 'Ted Lange' appears in Soken's Wikipedia student roster but, like Rose, his documented Matsumura Seito teacher is Nishihira; direct Soken instruction is roster-only.",proposed,low
Q189805,A0046,Zenryo Shimabukuro,Isamu Tamotsu,keep,,"[audit:shorinji-lines; verifier: confirmed] Official Renshinkan honbu history states explicitly that Tamotsu Isamu acquired Kyan Chotoku's direct lineage from Shimabukuro Zenryo (沖縄空手界で名人キャンと謳われた喜屋武朝徳先生の直流を島袋善良先生より修得し). This is the soke organisation's own genealogy, so high is warran",proposed,high
A0046,A0047,Isamu Tamotsu,Iwao Tamotsu,keep,,"[audit:shorinji-lines; verifier: confirmed] Iwao was the founder's eldest son (長男), trained in the system from childhood, held 10th dan hanshi and succeeded as 2nd soke on his father's death in May 2000; documented by the honbu's own history and Japanese Wikipedia.",proposed,high
A0046,A0048,Isamu Tamotsu,Yuzo Tamotsu,keep,,"[audit:shorinji-lines; verifier: confirmed] Yuzo (保勇三) is the founder's third son, born 1957 in Kagoshima, raised and trained within Renshinkan under his father (who led until 2000), taught at the central dojo, and became 3rd soke after Iwao's death in 2016 (formally 19 Feb 2017). Co",proposed,medium
C00098,A0049,Joen Nakazato,Hitoshi Oyakawa,keep,,"[audit:shorinji-lines; verifier: confirmed] Oyakawa Hitoshi (親川仁志), kyoshi 8th dan, heads Okinawa Karatedo Shorinji-ryu Shinkokai; the prefectural Okinawa Karate Navi dojo entry gives his lineage as Kyan Chotoku to Nakazato Joen, and the organisation's own genealogy names him a direc",proposed,high
Q41105,Q1335481,Gichin Funakoshi,Henry Plee,drop,,"[audit:goju-okinawa; verifier: confirmed] Plee never trained directly under Funakoshi. Funakoshi never taught in Europe and Plee never studied in Japan under him; his actual instructors were Tetsuji Murakami, Hiroo Mochizuki, Taiji Kase, Fukuda Rikutaro and others. The Wikipedia in",proposed,
Q16907056,Q699236,Xie Zongxiang,Kanryo Higaonna,keep,,"[audit:goju-okinawa; verifier: confirmed] This edge rests entirely on Tokashiki Iken's 2003 hypothesis identifying Ryu Ryu Ko as Xie Zongxiang. The identification is contested in scholarship (Quast, McCarthy treat it as unproven) and chronologically strained: Xie (b.1852) was only ",proposed,low
Q7446692,Q3272171,Seigo Tada,Yukari Oshima,keep,,[audit:goju-okinawa; verifier: confirmed] Oshima trained Seigokan Goju-ryu at the Ennouji Dojo in Fukuoka as a schoolgirl; Tada led Seigokan from Kyoto/Gifu. She belongs to his organisation but direct personal instruction by Tada is not documented; only the English infobox links th,proposed,low
A0012,Q16006586,Juhatsu Kyoda,Kanki Izumigawa,keep,,"[audit:goju-okinawa; verifier: confirmed] Clearly documented: Kyoda was Izumikawa's first Naha-te teacher, stated on English Wikipedia and in dedicated lineage research; consistent across Senbukan lineage accounts.",proposed,high
Q16006586,Q7446702,Kanki Izumigawa,Seiichi Akamine,keep,,[audit:goju-okinawa; verifier: confirmed] Japanese Wikipedia states Akamine took shodan under Izumikawa at age 16 and names Izumikawa (with Higa Seko) as his most significant Goju influence.,proposed,high
A0132,C00664,Seiko Fukuchi,Yuken Tokashiki,keep,,"[audit:goju-okinawa; verifier: confirmed] Okinawa Times profile (4 July 2021, reproduced in the Goju research blog) documents that Tokashiki joined Fukuchi's Senbukan Goju-ryu dojo in 1967 and succeeded him as second chairman of Senbukan in 1975. Established newspaper sourcing just",proposed,high
Q1963468,C00518,Shoshin Nagamine,Shinyei Kyan,keep,,"[audit:goju-okinawa; verifier: confirmed] Japanese Wikipedia on Kyan Shinei (1912-1997) records him as a senior student of Nagamine Shoshin, 9th dan in Matsubayashi-ryu and vice-president of the World Matsubayashi-ryu Karate-do Federation; two sai kata in Matsubayashi-ryu are attri",proposed,high
Q221121,C00150,Chojun Miyagi,Jinsei Kamiya,keep,,"[audit:goju-okinawa; verifier: confirmed] English Wikipedia on Goju-ryu records Kamiya Jinsei as one of only four Miyagi students permitted to open a dojo during the master's lifetime (with Higa, Shinzato and Yagi), and a founding member of the 1952 Goju-ryu Shinkokai. Clearly docu",proposed,high
A0026,Q2869852,Yoshimi Inoue,Atsuko Wakai,keep,,"[audit:goju-okinawa; verifier: confirmed] Consistently reported: Inoue Yoshimi's Tottori dojo trained Wakai among his roster of world kata champions (with Usami, Diaz, Nakayama); reported in multiple independent profiles of both figures.",proposed,medium
A0198,Q2869852,Akira Shiomi,Atsuko Wakai,keep,,"[audit:goju-okinawa; verifier: confirmed] English Wikipedia on Wakai states she was coached by Akira Shiomi, JKF Gojukai Chief Technical Director; consistently reported in competition profiles.",proposed,medium
Q699236,Q453505,Kanryo Higaonna,Kenwa Mabuni,keep,,"[audit:goju-okinawa; verifier: confirmed] Mabuni's Naha-te study under Higaonna Kanryo is a cornerstone of Shito-ryu history, stated in Mabuni's own writings and every standard account; the ryu name itself honours Itosu and Higaonna (shi + to). High, not medium.",proposed,high
