kata,relation,other_kata,confidence,stated_or_mirrored,note,sources
Bassai Sho,namesake,Passai Sho,high,mirrored,"THE TRAP, and the answer to the client's suspicion that the names travel badly. In Kobayashi Shorin-ryu these are not the same kata and not variants: Kobayashi 'Passai Sho' is Itosu's full Passai, Shotokan 'Bassai Sho' is the short companion form. They share a name only because 'sho' was applied twice for different reasons, by Itosu's line to mark a shorter companion and by Chibana to free up 'dai' for Tawada's form. Scoping caveat: in Shito-ryu 'Passai Sho' IS simply the Okinawan reading of Bas","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | 'How the Passai Sho (Bassai Sho) arrived in Japan', karate-shorin-ryu-piemonte.webnode.it | mrnickj.blogspot.com/2010/06/passai-kata.html"
Hakkaku,same,Hakutsuru,medium,stated,Two Japanese readings of the same crane name; both are given for 白鶴.,https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Hakutsuru,cognate,Paiku,medium,mirrored,"Paiku is written 白鶴, the same characters as Hakutsuru, and belongs to the same Ryuei-ryu crane group. Whether the forms themselves correspond is not established.",https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Hakutsuru,same,Hakkaku,medium,mirrored,Two Japanese readings of the same crane name; both are given for 白鶴.,https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Hakutsuru,variant,Paiho,high,mirrored,"Paiho is one of Ryuei-ryu's higher-level White Crane kata. 'Paiho' is the Okinawan reading, 'Baihe' the Chinese and 'Hakutsuru' or 'Hakkaku' the Japanese, so the two names denote the same crane form even where the schools' readings differ.",https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Han,variant,Anan,high,stated,"USA Goju practitioners perform Han, reported as nearly identical to Anan. Urban's route to the form is not documented.",https://www.karatebyjesse.com/ryuei-ryu-history-ramblings-kata-anan/
Hangetsu,derived_from,Seisan,high,stated,"The renaming and derivation are settled. Which Seisan Funakoshi held is not - see the two 'uncertain' relations from Hangetsu below. Hangetsu is unambiguously the later form. Funakoshi taught and published the kata as SEISHAN in 1922 and 1925 and only renamed it Hangetsu (半月) in Karate-do Kyohan, 1935/36, as part of the wholesale Japanisation of kata names. Nagamine, who objected to the practice, lists it plainly: 'Seisan was changed to Hangetsu'. Gigo Funakoshi and later Nakayama then restyled",https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | https://en.wikipedia.org/wiki/Hangetsu
Hangetsu,uncertain,Aragaki no Seisan,low,stated,"THE COMPETING CANDIDATE, and the one the tradition never considers. Aragaki no Seisan 'bears the closest surface resemblance to the Shotokan kata Hangetsu' of any Okinawan version. Three further things point the same way: Funakoshi classified Hangetsu as 'Shorei', his Naha-associated category; Hangetsu retains sustained tension breathing which is a Naha-te trait rare everywhere else in Shotokan; and Funakoshi knew Aragaki personally and wrote about him. Against it: no transmission from Aragaki t",https://en.wikipedia.org/wiki/Seisan | http://isshin-concentration.blogspot.com/2023/10/when-many-knowledgeable-people-chime-in.html
Hangetsu,uncertain,Tomari Seisan,medium,stated,"THE BEST-SUPPORTED SOURCE FOR FUNAKOSHI'S SEISAN, but inference rather than record. Kinjo Hiroshi holds that no Seisan is evidenced in the Shuri lines of Matsumura or Itosu, and that Funakoshi - a schoolteacher in Tomari - most likely had it from Iha Kodatsu. McCarthy states it as fact: 'Hangetsu traces its lineage through Funakoshi Gichin to Iha Kotasu of Tomari.' The negative evidence is genuinely strong: Chibana Choshin's Kobayashi Shorin-ryu, the direct Itosu core curriculum assembled on Ito",https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://translesbian.wordpress.com/2014/06/16/seisan-kata-13/
Hangetsu,ancestor_of,Sei Shan,medium,mirrored,"The Korean form entered the Moo Duk Kwan through Hwang Kee's study of Funakoshi's Karate-do Kyohan from 1945, and thence Tang Soo Do and Soo Bahk Do. Its route is therefore through Shotokan and specifically through the post-1936 Japanised recension, not through any Okinawan transmission - which is why the Korean name transliterates the Chinese numeral 十三 while the form follows Funakoshi's. Confidence medium because the extent of Hwang Kee's direct instruction versus book study is itself disputed",https://en.wikipedia.org/wiki/Seisan | https://en.wikipedia.org/wiki/Tang_Soo_Do
Hangetsu,variant,Seishan (Wado-ryu),high,mirrored,"Deliberately NOT 'derived_from' in either direction. Both are derivatives of Funakoshi's pre-1936 Seisan, and they branched at different moments: Otsuka took his in the 1920s, before Gigo Funakoshi and Nakayama restyled the Shotokan form into deep hangetsu-dachi. Wado's Seishan is therefore not a descendant of modern Hangetsu but a sibling that preserves an earlier state of the same Funakoshi form, overlaid with Otsuka's jujutsu-informed body mechanics. Saying 'Wado's comes from Shotokan's Hange",https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/ | https://en.wikipedia.org/wiki/Hangetsu | https://en.wikipedia.org/wiki/Gig%C5%8D_Funakoshi
Happoren,cognate,Pechurin,low,stated,"Recorded because the naming is suggestive and the client will meet the argument, not because descent is shown. 八歩連 Happoren ('eight steps linked') and 百歩連 Peichurin ('hundred steps linked') share the 〜歩連 construction, and both are Fuzhou forms that reached Naha; Happoren is Babulian, from the Mínghèquán syllabus of Xie Zhongxiang, the leading identification of Ryū Ryū Kō, brought to Naha by Go Kenki c.1912. The catch is that the documented Mínghèquán syllabus runs 八 and 二十八 (Babulian, Ershiba su","'Grandmaster Xie Zhongxian', worldwideway.org — https://worldwideway.org/others/xiezhongxian.html | Motobu Naoki, 一百零八の読み方 (百歩連 as the correct kanji) — https://note.com/motoburyu/n/nd939529561e4 | Joe Swift, 'China and the Origins of Okinawan White Crane Kenpo' — https://worldbudokan.com/worlbudokanhome/articles-2/china-and-the-origins-of-okinawan-white-crane-kenpo-part-1/"
Hyakuhachiho,derived_from,Suparinpei,high,stated,"The Shōtōkan 108 is a twentieth-century adaptation of the Gōjū/Shitō Suparinpei, existing in at least three materially different Shōtōkan redactions under one name: an internal JKA version (Shōji Hiroshi → Yamaguchi Tōru), Asai Tetsuhiko's Hyakuhappo, and Kanazawa Hirokazu's SKIF Hyakuhachiho. The client's reading of the direction is correct; the attribution is not. Shōtōkan is the borrower. (1) The 108 is documented in Naha from 1867 and in the Higaonna/Gōjū line from the 1880s; Shōtōkan is a S","André Bertel, '百八歩 (Hyakuhappo): the スーパーリンペイ (Suparinpei) of Shotokan' — http://andrebertel.blogspot.com/2021/03/hyakuhappo-suparinpei-of-shotokan.html | IJKA Shotokan & Asai-ryu kata list — https://shotokan.bg/en/ijka-shotokan-asai-ryu-kata | 'Los otros katas del Shotokan' — https://karateyalgomas.com/2015/02/11/los-otros-katas-del-shotokan/"
Ippyakureihachi (Kojo-ryu),uncertain,Suparinpei,low,stated,"The Naha-te kata tables list only 天巻 for 湖城流, and the fuller Kojō-ryū listings contain no 108 form. There IS a real historical adjacency worth keeping the entry alive for: Kojō Taitei ran a dojo in Fuzhou, and McCarthy has Aragaki Seishō recommending Higaonna to Kojō Taitei before Higaonna sailed, so the Kojō house sits directly on the road the 108 travelled. But adjacency is not transmission and I found no evidence of the","Weblio, 那覇手系その他の型一覧 — https://www.weblio.jp/content/%E9%82%A3%E8%A6%87%E6%89%8B%E7%B3%BB%E3%81%9D%E3%81%AE%E4%BB%96%E3%81%AE%E5%9E%8B%E4%B8%80%E8%A6%A7 | Patrick McCarthy, 'Aragaki Seisan & Chokyu-gata' — http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf"
Ishimine Bassai,cognate,Itosu no Passai,medium,stated,"Joe Swift observes that the Passai Dai of Itosu 'is very similar to the Ishimine no Passai'. Mabuni kept Ishimine Bassai in a separate Ishimine-ha group rather than folding it into Itosu-ha, which is independent evidence he regarded it as a distinct transmission rather than a variant of Itosu's. Cognate, not derived in either direction. Ishimine Pechin (1812-1892) was nineteen years Itosu's senior and died before Itosu's school-era redaction, so the common claim that Ishimine Bassai derives from","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com"
Itosu no Passai,derived_from,Matsumura no Passai,medium,stated,"The parent is chosen on Chibana's testimony that Itosu taught his Passai as 'Matsumura no Passai', first-hand lineage evidence from Itosu's most loyal student, and on Itosu's documented position as Matsumura's student in Shuri. Held at medium because of the competing Tomari account below and because Itosu left no statement. What is NOT supported: any claim that Itosu created Passai. He reworked an existing form, reportedly more than once, which is why his direct students' versions differ. The di","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it (Chibana testimony, 10 October 1966) | Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com | Motobu Naoki, 'The lineage of transmission of Passai', medium.com/motobu-ryu-blog"
Itosu no Passai,uncertain,Oyadomari no Passai,low,stated,"The competing account of Itosu's source, and I am not picking between them. Two strands support it: an oral tradition that Matsumura told Itosu to learn the Tomari version from Oyadomari Kokan, which would make the Tomari form the parent of everything Itosu's students carried; and Joe Swift's morphological reading of a 'clear evolutionary link' running Matsumura to Oyadomari to Itosu. Against it: Chibana's direct testimony that Itosu taught the form as Matsumura's. The technical argument sometim","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com | hsbudo.blogspot.com/2016/09/kata-focus-bassai.html | moeweb.wixsite.com/shorin-ryu/passai"
Itosu no Passai,ancestor_of,Bassai Dai,high,mirrored,"Bassai Dai is the Japanese redaction of Itosu's Passai: renamed 抜塞 with the reading Bassai in 1935-36, restyled with kokutsu-dachi replacing neko-ashi-dachi and longer stances generally. Funakoshi's 1922 book still printed the name in katakana with no kanji. Funakoshi learned Passai from Itosu and took it to Japan; Itosu died in 1915, before Funakoshi's mainland demonstrations and long before the 1935-36 renaming, so the Japanese form cannot have fed back. Later Shotokan modifications by Gigo Fu",ja.wikipedia.org/wiki/パッサイ; weblio.jp/content/パッサイ | en.wikipedia.org/wiki/Passai
Itosu no Passai,ancestor_of,Bassai Sho,medium,mirrored,"This answers the client's Bassai Sho question as far as the evidence allows. The Itosu-era date holds: Mabuni's own kata classification lists Bassai sho alongside Bassai dai under Itosu-ha, and Funakoshi already named both a Passai Dai and a Passai Sho in 1922 among kata he knew but did not teach. So it is not a JKA-era invention. What does NOT hold is the flat credit 'created by Itosu': there is no statement from Itosu, and 'companion form composed by Itosu' is a tradition of exactly the kind t","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 1', fightingarts.com | 'How the Passai Sho (Bassai Sho) arrived in Japan', karate-shorin-ryu-piemonte.webnode.it"
Itosu no Passai,cognate,Ishimine Bassai,medium,mirrored,"Joe Swift observes that the Passai Dai of Itosu 'is very similar to the Ishimine no Passai'. Mabuni kept Ishimine Bassai in a separate Ishimine-ha group rather than folding it into Itosu-ha, which is independent evidence he regarded it as a distinct transmission rather than a variant of Itosu's. Cognate, not derived in either direction. Ishimine Pechin (1812-1892) was nineteen years Itosu's senior and died before Itosu's school-era redaction, so the common claim that Ishimine Bassai derives from","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com"
Itosu no Passai,same,Passai,low,mirrored,"DATASET HYGIENE, not a historical claim. The generic 'Passai' row is written as the Itosu form: its creator/modifier text is about Itosu fixing the school version and Funakoshi renaming it. But the name in the field is an umbrella, since in Matsubayashi-ryu, Seibukan and Shorinji-ryu unqualified 'Passai' means Kyan's form. Recommend keeping 'Passai' as an explicit umbrella node with the named forms hanging off it, rather than merging.",mokuso.ar/articulos/dojo-apuntes-passai/
Itosu no Passai,same,Passai Sho,high,mirrored,"In the Chibana/Kobayashi line and its branches (Shorinkan, Kyudokan, Shidokan, Shubukan), 'Passai Sho' is Itosu's Passai. Itosu taught it as his Passai Dai; Chibana renamed it Sho so he could give 'Dai' to Tawada no Passai. Consistent across three independent write-ups of the Chibana-line literature.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | mrnickj.blogspot.com/2010/06/passai-kata.html | ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/"
Kan'yu Seisan,cognate,Sesan,medium,stated,"BREAKS THE 'NAHA-TE IS HOMOGENEOUS' ASSUMPTION. To'on-ryu's Seisan is not Goju's. Kyoda Juhatsu knew two: Higaonna Kanryo's ('Higaonna West', the Goju ancestor) and Higaonna Kan'yu's ('Higaonna East', 1849-1922, Kanryo's older relative and possibly Kyoda's first teacher through his mother's family). He vacillated for years, at one point proposing to combine the best of both, and in the end taught Kanzaki Shigekazu only the KAN'YU version. To'on-ryu's own syllabus lists it as 'Kan'yu Seisan'. Kan",https://en.wikipedia.org/wiki/T%C5%8Don-ry%C5%AB | http://isshin-concentration.blogspot.com/2024/10/the-following-are-several-interesting.html
Kyan no Passai,derived_from,Oyadomari no Passai,high,stated,"Kyan learned Passai from Oyadomari in Tomari and reshaped it around his small stature and lateral footwork. Nagamine records that Kyan's Passai, Chinto and Kusanku contained movements that differentiated them from other masters', and that Passai remained a favourite to his death. Kyan's reading, not Oyadomari's raw form, is what Seibukan, Shorinji-ryu, Shobayashi and Matsubayashi actually practise, which is why those schools' 'Oyadomari no Passai' and 'Tomari Passai' labels are both slightly wro","'The three Kyan's Passai (part 1)', karate-shorin-ryu-piemonte.webnode.it"
Matsumura Seisan,namesake,Sesan,high,stated,"THE ONE PLACE IN THIS COMPLEX WHERE 'NAMESAKE' IS THE RIGHT WORD, and it is an intra-style one. Shito-ryu holds two Seisans acquired seventy years apart by unrelated routes: the Naha 'Sesan', in the syllabus from the beginning via Higaonna Kanryo to Mabuni Kenwa, and 'Matsumura Seisan', which was NOT in Mabuni's curriculum at all - 'In the original curriculum of Shito-ryu this kata did not exist' - and which Sakagami Ryusho added post-war after tracing it to the Shudokan and learning it from Tsu",http://itosukai.blogspot.com/2017/09/seisan.html | http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://en.wikipedia.org/wiki/Kenwa_Mabuni
Matsumura Seisan,variant,Seisan (Isshin-ryu),medium,stated,"Evidentially load-bearing, because it ties the Shito-ryu 'Shuri' form to the Kyan/Shimabuku form and so shows they are one tradition rather than two: 'both the Kyan and the Shimabuku versions of this kata strongly resemble the ""Matsumura no Seisan"" used in some sects of Shito-ryu'. Since the Shito-ryu form reached Sakagami via the Shudokan and the Isshin-ryu form via Kyan, the resemblance implies a shared upstream source independent of both - which is what Kinjo's Tomari hypothesis is trying to",https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | https://translesbian.wordpress.com/2014/06/16/seisan-kata-13/
Matsumura Seisan,uncertain,Seisan,low,mirrored,"THE POINT WHERE THE TRADITION ASSERTS MOST AND EVIDENCES LEAST. McCarthy reports the Shuri position and marks it as belief, not fact: 'the Shuri-based version of Seisan is believed to be the oldest... hence, Matsumura Seisan ""is"" the oldest version', the scare quotes doing the work. There is no documentary basis for it whatever. Every dated fact points the other way: the only recorded 19th-century performance is Aragaki's, in 1867, by a Kume/Naha man; and Seisan is absent from Chibana's Itosu cu",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/ | https://en.wikipedia.org/wiki/Nabe_Matsumura
Matsumura no Passai,uncertain,Oyadomari no Passai,low,stated,"The textbook line is that Oyadomari's form is the 'Okinawanised' descendant of Matsumura's more Chinese-flavoured one. That is Joe Swift's stylistic reading, repeated so widely it now reads as established fact, and a stylistic reading is not evidence of descent. Directly against it, the Tomari tradition traces Oyadomari's Passai to Teruya Kishin, not to Matsumura. It is also possible both Matsumora and Oyadomari trained under Matsumura at some point, which would allow intermingling without desce","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com | Motobu Naoki, 'The lineage of transmission of Passai', medium.com/motobu-ryu-blog | katastepbystep.com/karate-masters-kishin-teruya/"
Matsumura no Passai,ancestor_of,Itosu no Passai,medium,mirrored,"The parent is chosen on Chibana's testimony that Itosu taught his Passai as 'Matsumura no Passai', first-hand lineage evidence from Itosu's most loyal student, and on Itosu's documented position as Matsumura's student in Shuri. Held at medium because of the competing Tomari account below and because Itosu left no statement. What is NOT supported: any claim that Itosu created Passai. He reworked an existing form, reportedly more than once, which is why his direct students' versions differ. The di","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it (Chibana testimony, 10 October 1966) | Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com | Motobu Naoki, 'The lineage of transmission of Passai', medium.com/motobu-ryu-blog"
Matsumura no Passai,uncertain,Tachimura no Passai,low,mirrored,"The Kishimoto-di tradition holds that Tachimura no Peichin and Sokon Matsumura were fellow students under Kanga Sakukawa (1733-1815) and learned Naihanchi, Passai and Kusanku from him. If true the two forms would be cognate through Sakugawa and the complex would be a generation older than anything else here can show. There is no documentation, Sakugawa's dates are themselves contested, and the line is independently traceable only to Tachimura no Peichin (1814-1899) and Kishimoto Soko (1862-1945)",en.wikipedia.org/wiki/Sakugawa_Kanga
Matsumura no Passai,uncertain,Tawada no Passai,low,mirrored,"Several writers hold that the form Shito-ryu calls Matsumura Bassai, and that Chibana called Passai Dai, is in fact the Tawada form, the Matsumura attribution being an error that entered print some decades ago. Motobu Naoki puts it more mildly: Tawada Shinboku was a disciple of Matsumura, 'and therefore it has recently also been called Matsumura no Passai'. Against a clean identification, the Matsumura Seito form transmitted Nabe Matsumura to Hohan Soken carries the same name and is described as","Motobu Naoki, 'The lineage of transmission of Passai', medium.com/motobu-ryu-blog | mrnickj.blogspot.com/2010/06/passai-kata.html | ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/"
Oyadomari no Passai,cognate,Tomari Passai,medium,stated,"The most important structural correction to the popular picture, which treats these two as loose synonyms. Matsumora's reading is the shorter of the two, and some writers name the pair Tomari no Passai Dai and Sho. Confidence is medium rather than high because much practice does use the names interchangeably for Oyadomari's form, and because the Teruya attribution, though consistent across Nagamine and the standard biographies, is lineage tradition rather than document. Not derived_from in eithe",katastepbystep.com/karate-masters-kishin-teruya/ | en.wikipedia.org/wiki/Kokan_Oyadomari
Oyadomari no Passai,ancestor_of,Kyan no Passai,high,mirrored,"Kyan learned Passai from Oyadomari in Tomari and reshaped it around his small stature and lateral footwork. Nagamine records that Kyan's Passai, Chinto and Kusanku contained movements that differentiated them from other masters', and that Passai remained a favourite to his death. Kyan's reading, not Oyadomari's raw form, is what Seibukan, Shorinji-ryu, Shobayashi and Matsubayashi actually practise, which is why those schools' 'Oyadomari no Passai' and 'Tomari Passai' labels are both slightly wro","'The three Kyan's Passai (part 1)', karate-shorin-ryu-piemonte.webnode.it"
Oyadomari no Passai,uncertain,Itosu no Passai,low,mirrored,"The competing account of Itosu's source, and I am not picking between them. Two strands support it: an oral tradition that Matsumura told Itosu to learn the Tomari version from Oyadomari Kokan, which would make the Tomari form the parent of everything Itosu's students carried; and Joe Swift's morphological reading of a 'clear evolutionary link' running Matsumura to Oyadomari to Itosu. Against it: Chibana's direct testimony that Itosu taught the form as Matsumura's. The technical argument sometim","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com | hsbudo.blogspot.com/2016/09/kata-focus-bassai.html | moeweb.wixsite.com/shorin-ryu/passai"
Oyadomari no Passai,uncertain,Matsumura no Passai,low,mirrored,"The textbook line is that Oyadomari's form is the 'Okinawanised' descendant of Matsumura's more Chinese-flavoured one. That is Joe Swift's stylistic reading, repeated so widely it now reads as established fact, and a stylistic reading is not evidence of descent. Directly against it, the Tomari tradition traces Oyadomari's Passai to Teruya Kishin, not to Matsumura. It is also possible both Matsumora and Oyadomari trained under Matsumura at some point, which would allow intermingling without desce","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 2', fightingarts.com | Motobu Naoki, 'The lineage of transmission of Passai', medium.com/motobu-ryu-blog | katastepbystep.com/karate-masters-kishin-teruya/"
Paiho,cognate,Paiku,medium,stated,"Both are Ryuei-ryu crane kata of the Nakaima transmission, listed together with Anan, Ohan, Pachu and Heiku as the school's six.",https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
