name,native,variants,family,styles,level,renamed_from,meaning,era,origin_person,origin_place,modifier,modified_era,introduced_by,disputed,provenance,sources
Gojushiho Sho,五十四歩小,Gojushiho; Gojushiho Dai (labels contested); Hotaku; Useishi,japanese,japanese-karate-generic|jka|shotokai|shotokan|skif|ska|asai-ryu|iskf|jska|kase-ha|kwf,senior,Useishi (五十四歩); same failed substitute name Hōtaku,"'Fifty-four steps, minor'",Useishi lineage 19th century; Shotokan Dai/Sho split formalised by the JKA in the 1950s-60s,"Unknown; Shuri-te lineage, Itosu redaction",,Masatoshi Nakayama and the JKA,1950s-1960s,Anko Itosu (modified); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised); Anko Itosu (standardised),yes,Useishi (Shuri) > Itosu > Gichin Funakoshi > JKA,"Nakayama M. Best Karate vol. 11 (Kodansha, 1989) | Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000) | WKF Kata List, 2nd edition (2019, rev. 2022)"
Gyakunage no Kata,逆投の形,Gyakunage; Nage no Kata (Wado),japanese,shindo-yoshin-ryu|wado-kai|wado-ryu|wado-ryu-karate-do-renmei|wado-kokusai,senior,,'Reversal throwing forms',1930s-1940s,Hironori Otsuka,"Tokyo, Japan",Hironori Otsuka II and the Wadoryu Karatedo Renmei,1980s onwards,Hironori Otsuka (created); Hironori Otsuka II (standardised),yes,Shindo Yoshin-ryu jujutsu throwing > Wado curriculum,Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Wadoryu Karatedo Renmei technical syllabus (Otsuka II line)
Hachimon,八門,,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,'Eight gates',c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),,"Asai's own composition, worked on eight directions of engagement > JKS/Asai-ryu syllabus","Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Hangetsu,半月,Seisan; Seishan; Sesan; Seisan (Shotokan),japanese,gosoku-ryu|japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|iskf|jska|kase-ha|kenkojuku|kwf|gima-ha,middle,Seisan,half moon,renamed 1936; Seisan among the oldest kata on Okinawa,Unknown; old Okinawan and Chinese Seisan lineage. Renamed by Gichin Funakoshi,"Okinawa (Fujian roots); renamed in Tokyo, Japan",Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Masatoshi Nakayama (standardised),yes,Nagamine records 'Seisan was changed to Hangetsu'.,"WKF Competition Rules, Appendix: Official Kata List"
Heian,平安,Heian Shodan-Godan; Pinan; Pyung Ahn (Korean),japanese,shotokan|shotokai|gosoku-ryu|shuri-ryu|jka|skif|ska|jska|iskf|kenkojuku|gima-ha|japanese-karate-generic|asai-ryu|kase-ha|kwf,junior,Pinan,"'Peace and tranquillity' (the on'yomi reading of the same characters as Pinan): Funakoshi glossed it as the confidence of one who, having mastered these forms, can defend himself calmly anywhere.",originals c. 1904; renamed 1935 (Karate-do Kyohan),Anko Itosu (created the Pinan series); Gichin Funakoshi (Japanese renaming),"Shuri, Okinawa; renamed in Tokyo, Japan","Gigo (Yoshitaka) Funakoshi (Q628761), c. 1936-1945; then Masatoshi Nakayama (Q384558) and the JKA from 1949",Gigo c. 1936-1945; JKA standardisation 1950s-1970s,Anko Itosu (created); Gichin Funakoshi (renamed),yes,"Itosu's Pinan set as taught to Funakoshi in Shuri, carried to Tokyo from 1922",https://en.wikipedia.org/wiki/Pinan | https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-2-pinan-naihanchi-kushanku-passai-kata/ | https://www.historyoffighting.com/shotokan-kata-history-part-one.php
Heian Godan,平安五段,Pinan Godan,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|gosoku-ryu|iskf|jska|kase-ha|kenkojuku|kwf,junior,Pinan Godan (平安五段),"peaceful mind, fifth level",originals 1904-1907; renamed 1936,Anko Itosu,,Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Anko Itosu (created); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),,Itosu's Pinan Godan.,"WKF Competition Rules, Appendix: Official Kata List"
Heian Nidan,平安二段,Pinan Shodan,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|gosoku-ryu|iskf|jska|kase-ha|kenkojuku|kwf,junior,Pinan Shodan (平安初段),"peaceful mind, second level",originals 1904-1907; renamed 1936,Anko Itosu (created as Pinan Shodan),,Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Anko Itosu (created); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),,"Itosu's Pinan Shodan, demoted to second in the Shotokan order.","WKF Competition Rules, Appendix: Official Kata List"
Heian Sandan,平安三段,Pinan Sandan,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|gosoku-ryu|iskf|jska|kase-ha|kenkojuku|kwf,junior,Pinan Sandan (平安三段),"peaceful mind, third level",originals 1904-1907; renamed 1936,Anko Itosu,,Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Anko Itosu (created); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),,Itosu's Pinan Sandan.,"WKF Competition Rules, Appendix: Official Kata List"
Heian Shodan,平安初段,Pinan Nidan,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|gosoku-ryu|iskf|jska|kase-ha|kenkojuku|kwf,junior,Pinan Nidan (平安二段),"peaceful mind, first level",originals 1904-1907; renamed 1936,Anko Itosu (created as Pinan Nidan); renamed and reordered by Gichin Funakoshi,,Gigo Funakoshi (deeper stances) and Masatoshi Nakayama (JKA standardisation),late 1930s to 1950s,Anko Itosu (created); Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Masatoshi Nakayama (standardised),,"Itosu's Pinan Nidan, renamed by Funakoshi and promoted to first in the Shotokan order. Nagamine records the renaming.","WKF Competition Rules, Appendix: Official Kata List"
Heian Yondan,平安四段,Pinan Yondan,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|gosoku-ryu|iskf|jska|kase-ha|kenkojuku|kwf,junior,Pinan Yondan (平安四段),"peaceful mind, fourth level",originals 1904-1907; renamed 1936,Anko Itosu,,Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Anko Itosu (created); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),,Itosu's Pinan Yondan.,"WKF Competition Rules, Appendix: Official Kata List"
Henshuho,変手法,Henshuho Dai; Henshuho Sho,japanese,chito-ryu|japanese-karate-generic,,,'Changing-hand method',c. 1950s-1960s,Tsuyoshi Chitose,"Kumamoto, Japan",Yasuhiro Chitose and the International Chito-ryu Federation,1980s onwards,Tsuyoshi Chitose (created); Yasuhiro Chitose (standardised),yes,Chitose's own composition > Chito-ryu syllabus,Chitose T. Kempo Karate-do (1957) | International Chito-ryu Federation / Sokeikan kata syllabus
Hyakuhachiho,百八歩,"Hyakuhachiho Dai; Hyakuhachiho Sho; Pechurin; Suparinpei; Hyakuhappo (older reading, Asai's preference); Hyakuhachi (Osaka Yoshiharu's usage); Kanazawa/SKIF version; JKA internal version (Shōji Hiroshi → Yamaguchi Tōru)",japanese,asai-ryu|japanese-karate-generic|shotokan|skif,senior,,'One hundred and eight steps',c. 1980s-2000s (source kata Qing-era China),"Tetsuhiko Asai, working from the Suparinpei/Pechurin tradition","Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),yes,Naha-te Suparinpei / Chinese 108 tradition > Asai's Shotokan-idiom recomposition > JKS syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s) | McCarthy P. Bubishi: The Bible of Karate (1995)"
Idori no Kata,居捕の形,Idori,japanese,shindo-yoshin-ryu|wado-kai|wado-ryu|wado-ryu-karate-do-renmei|wado-kokusai,senior,,'Seated capture forms'; paired defences from the kneeling position,1930s-1940s,Hironori Otsuka,"Tokyo, Japan",Hironori Otsuka II and the Wadoryu Karatedo Renmei,1980s onwards,Hironori Otsuka (created); Hironori Otsuka II (standardised),,"Shindo Yoshin-ryu jujutsu seated techniques, which Otsuka held at menkyo kaiden level, adapted into the Wado curriculum","Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Wadoryu Karatedo Renmei technical syllabus (Otsuka II line) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Jion (Wado-ryu),慈恩,Ji On; Jion,japanese,wado-kai|wado-kokusai|wado-ryu|shintani-wado-kai|wado-ryu-karate-do-renmei,senior,,'Temple ground' / 'love and goodness',19th century Okinawa; Wado version 1930s,Unknown; Tomari/Shuri temple-kata tradition. Wado redaction by Hironori Otsuka,,Hironori Otsuka,1930s-1970s,Anko Itosu (transmitted); Gichin Funakoshi (brought); Hironori Otsuka (modified),yes,"Temple-kata group (Jion, Jiin, Jitte) > Itosu > Gichin Funakoshi > Otsuka > Wadokai","Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Jitte (Wado-ryu),十手,Jitte; Jutte; Sip Soo,japanese,wado-kai|wado-kokusai|wado-ryu|shintani-wado-kai|wado-ryu-karate-do-renmei,middle,,'Ten hands',19th century Okinawa; Wado version 1930s,Unknown; Tomari/Shuri temple-kata tradition. Wado redaction by Hironori Otsuka,,Hironori Otsuka,1930s-1970s,Anko Itosu (transmitted); Gichin Funakoshi (brought); Hironori Otsuka (modified),yes,Temple-kata group > Itosu > Gichin Funakoshi > Otsuka > Wadokai,"Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Joko series,上向,Joko Gosei; Joko Issei; Joko Nisei; Joko Sansei; Joko Yonsei,japanese,asai-ryu|japanese-karate-generic|shotokan,,,'Upward-facing'; the series runs Joko Issei through Joko Gosei,c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS technical committee after Asai's death,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),,Asai's own synthesis of Shotokan with Chinese (White Crane and Taiwanese) whip-body mechanics > JKS/Asai-ryu syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Junro,順路,Junro Shodan-Godan,japanese,shotokan|asai-ryu|japanese-karate-generic,junior,,"'Ordered path' or 'following the route in sequence': five kata forming a graded route through Asai's body-dynamics method of relaxation, whip-like snap and rotational power.",c. 1990s-2000s,Tetsuhiko Asai,"Tokyo, Japan (Japan Karate Shoto Federation, JKS)",,,Tetsuhiko Asai (created),,"The core of the roughly dozen kata Asai created for his JKS curriculum after leaving the JKA, designed to reintroduce whipping, one-legged and rotational actions he felt standard Shotokan had lost; they are now examined kata within JKS worldwide. (Note: Junro is Asai Shotokan, not an Ashihara or Enshin form.) The Junro series (Shodan to Godan) is a Tetsuhiko Asai creation and the row already credits him, but its styles field carries only shotokan, whereas every other Asai kata in the file (Joko, Kakuyoku, Kashu, Kibaken, Kyakusen, Meikyo Sho, Rakuyo, Roppo, Seiryu, Sensho, Shotei, Suishu, Hachimon, Hyakuhachiho, Gankaku Sho) carries asai-ryu|japanese-karate-generic|shotokan. Proposing the same three ids for consistency. I have not proposed a modifier value, since I found no source naming one for Junro specifically. Explicitly remedial/foundation kata, not part of the dan repertoire. Carr",https://www.mkshotokankarate.com/jks-katas | https://en.wikipedia.org/wiki/Tetsuhiko_Asai
Kakuyoku series,鶴翼,Kakuyoku Nidan; Kakuyoku Sandan; Kakuyoku Shodan,japanese,asai-ryu|japanese-karate-generic|shotokan,,,"'Crane wing'; Kakuyoku Shodan, Nidan and Sandan",c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),,Asai's White Crane-influenced synthesis > JKS/Asai-ryu syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Kanku Dai,観空大,Kong Sang Koon; Kosokun Dai; Kusanku; Kusanku Dai; Kushanku; Kwanku,japanese,japanese-karate-generic|jka|shotokai|shotokan|skif|ska|gosoku-ryu|asai-ryu|iskf|jska|kase-ha|kenkojuku|kwf|shito-kai,middle,Kusanku,"'To view the sky', from the opening gesture",Kata c. 1760s-1800s in Okinawa; Shotokan name adopted 1935 in Karate-do Kyohan,"Traditionally Kanga Sakukawa, working from material taught by the Qing envoy Kusanku; ultimate authorship undocumented","Shuri, Okinawa","Anko Itosu (Okinawan reworking c. 1900s), then Gigo Funakoshi and Masatoshi Nakayama for the Shotokan/JKA form",Itosu c. 1900-1910; Shotokan form fixed late 1930s-1950s,Kusanku (transmitted); Kanga Sakukawa (created); Anko Itosu (modified); Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Masatoshi Nakayama (standardised); Anko Itosu (standardised),yes,"Kusanku (envoy, 1756 mission) > Sakukawa > Matsumura/Itosu Shuri-te > Gichin Funakoshi (Tokyo, 1922) > Gigo Funakoshi > JKA (Nakayama)","Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Nakayama M. Best Karate vol. 7 (Kodansha, 1979) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Kanku Sho,観空小,Kosokun Sho; Kusanku Sho,japanese,japanese-karate-generic|jka|shotokai|shotokan|skif|ska|asai-ryu|iskf|jska|kase-ha|kwf|shito-kai,middle,Kūsankū Shō / Kōsōkun Shō (公相君小),'Minor viewing of the sky',Itosu creation late 19th-early 20th century; Shotokan name adopted 1935,Anko Itosu,"Shuri, Okinawa",Masatoshi Nakayama and the JKA technical committee,1950s-1960s,Anko Itosu (created); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),,Itosu (Shuri) > Gichin Funakoshi > JKA,"Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Nakayama M. Best Karate vol. 8 (Kodansha, 1980) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | WKF Kata List, 2nd edition (2019, rev. 2022)"
Kashu,火手,,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,'Fire hand',c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),,"Asai's own composition, paired conceptually with Suishu ('water hand') > JKS/Asai-ryu syllabus","Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Kibaken series,起破拳,Kibaken Nidan; Kibaken Sandan; Kibaken Shodan,japanese,asai-ryu|japanese-karate-generic|shotokan,,,"Commonly glossed 'rising and breaking fist'; Kibaken Shodan, Nidan and Sandan",c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),yes,Asai composition > JKS/Asai-ryu syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Kihon Kumite (Wado-ryu),基本組手,Kihon Kumite Ipponme-Jupponme; Yakusoku Kumite kata,japanese,wado-ryu|shintani-wado-kai|wado-kai|wado-kokusai|wado-ryu-karate-do-renmei,middle,,"'Fundamental paired forms': ten prearranged two-person sequences that Otsuka regarded as kata in their own right, encoding Wado's core principles of nagasu (flowing), inasu (evading) and noru (riding) an attack.",1930s-1940s (refined from an original set of 36),Hironori Otsuka,"Tokyo, Japan",,,Hironori Otsuka (created),,"Otsuka fused Shindo Yoshin-ryu jujutsu pairwork with karate striking to create these paired kata, the most distinctive Japanese-created element of the Wado syllabus and the clearest expression of the style's jujutsu inheritance. They sit alongside, not below, the solo kata in Wado pedagogy. Otsuka's paired forms carrying the Shindo Yoshin-ryu content of Wado. Carried the bare id wado-ryu. Added wado-kai, wado-kokusai, wado-ryu-karate-do-renmei, shintani-wado-kai. The ten Kihon Kumite are universal across Wado bodies (Otsuka left them unstandardised, so the sequences differ between organisations, but all teach them). NOT flagged disputed: the parenthetical is doing real work here because 'Kihon Kumite' unqualified would collide with generic basic sparring drills in other styles.",https://en.wikipedia.org/wiki/Wad%C5%8D-ry%C5%AB | https://www.karatephilosophy.com/a-complete-list-of-wado-ryu-katas-with-videos/ | https://en.wikipedia.org/wiki/Hironori_%C5%8Ctsuka
Koshiki no Kata (Gensei-ryu),古式の形,Koshiki no Naihanchi; Koshiki no Passai; Koshiki no Sansai,japanese,genseiryu|japanese-karate-generic,,,'Old-style forms',Presented as pre-20th-century material; codified within Gensei-ryu from the 1950s,Presented by Seiken Shukumine as older Okinawan material he preserved; no earlier author identifiable,"Okinawa, then Japan",Seiken Shukumine,1950s-1960s,Seiken Shukumine (transmitted),yes,Claimed transmission from Shukumine's Okinawan teachers (associated with the Kishimoto and Kyan lines) > Gensei-ryu,"Shukumine S. Shin Karate-do Kyohan (1955) | Gensei-ryu Karate-do Federation technical syllabus | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
